PMID            | GT    | Pred  | TP   
28209454        | 59    | 15    | 1    
28209459        | 15    | 6     | 1    
28209945        | 36    | 13    | 0    
28210319        | 62    | 33    | 10   
28215507        | 47    | 5     | 1    
28220186        | 72    | 14    | 2    
28220959        | 47    | 9     | 4    
28221032        | 40    | 8     | 1    
28221291        | 67    | 13    | 1    
28222192        | 60    | 23    | 1    
28223077        | 40    | 11    | 1    
28224642        | 30    | 4     | 0    
28229061        | 88    | 10    | 6    
28229097        | 72    | 24    | 14   
28232316        | 93    | 22    | 6    
28233508        | 49    | 10    | 0    
28234635        | 101   | 23    | 17   
28236586        | 50    | 14    | 5    
28237762        | 28    | 4     | 0    
28237781        | 62    | 14    | 4    
28237953        | 35    | 8     | 0    
28239461        | 77    | 12    | 7    
28239481        | 37    | 5     | 1    
28240704        | 56    | 4     | 0    
28241859        | 104   | 34    | 5    
28243201        | 76    | 15    | 2    
28243909        | 38    | 6     | 2    
28244578        | 41    | 6     | 0    
28244917        | 79    | 10    | 2    
28245342        | 50    | 8     | 1    
28249376        | 84    | 23    | 1    
28249723        | 47    | 7     | 1    
28251683        | 52    | 11    | 2    
28251753        | 28    | 2     | 1    
28252207        | 66    | 13    | 0    
28253085        | 51    | 8     | 2    
28254329        | 85    | 12    | 1    
28254935        | 30    | 12    | 0    
28256742        | 45    | 9     | 4    
28257468        | 73    | 14    | 0    
28260547        | 40    | 3     | 2    
28262340        | 63    | 7     | 2    
28263181        | 66    | 6     | 3    
28263519        | 42    | 11    | 3    
28265530        | 40    | 8     | 0    
28267199        | 56    | 11    | 1    
28268504        | 58    | 12    | 0    
28268917        | 17    | 6     | 2    
28269352        | 74    | 13    | 2    
28269453        | 29    | 3     | 1    
28269712        | 46    | 8     | 0    
28270369        | 44    | 10    | 1    
28271342        | 51    | 8     | 3    
28271600        | 29    | 6     | 0    
28272254        | 58    | 9     | 2    
28272842        | 51    | 7     | 3    
28273336        | 37    | 0     | 0    
28273482        | 61    | 17    | 3    
28274077        | 21    | 9     | 0    
28277189        | 51    | 14    | 4    
28278150        | 63    | 8     | 2    
28280149        | 39    | 6     | 0    
28281646        | 30    | 3     | 0    
28282592        | 79    | 15    | 1    
28282963        | 30    | 10    | 0    
28283668        | 53    | 12    | 0    
28284875        | 20    | 4     | 0    
28285800        | 53    | 14    | 2    
28286021        | 46    | 6     | 3    
28286958        | 29    | 4     | 3    
28287035        | 38    | 18    | 0    
28289065        | 50    | 16    | 3    
28289091        | 52    | 9     | 0    
28289914        | 67    | 7     | 1    
28294559        | 69    | 20    | 7    
28295414        | 65    | 3     | 1    
28296885        | 67    | 18    | 2    
28299441        | 61    | 11    | 7    
28301509        | 82    | 4     | 0    
28301911        | 46    | 10    | 2    
28302782        | 16    | 7     | 0    
28316382        | 49    | 7     | 0    
28319502        | 30    | 12    | 1    
28322666        | 60    | 5     | 0    
28326653        | 72    | 9     | 3    
28326936        | 76    | 16    | 1    
28327105        | 65    | 19    | 10   
28328236        | 43    | 8     | 0    
28330678        | 75    | 9     | 4    
28331620        | 43    | 8     | 3    
28332776        | 60    | 10    | 1    
28334564        | 71    | 11    | 0    
28334615        | 41    | 7     | 1    
28334854        | 44    | 13    | 4    
28336141        | 24    | 8     | 1    
28336597        | 33    | 10    | 3    
28338247        | 54    | 8     | 1    
28338634        | 70    | 15    | 2    
28339345        | 43    | 13    | 4    
28339928        | 52    | 4     | 3    
28342945        | 47    | 12    | 3    
28343001        | 36    | 7     | 1    
28343423        | 63    | 8     | 2    
28343993        | 49    | 12    | 2    
28344199        | 44    | 8     | 1    
28348382        | 44    | 8     | 0    
28351424        | 75    | 11    | 0    
28351716        | 58    | 19    | 3    
28352958        | 45    | 7     | 1    
