PMID            | GT    | Pred  | TP   
28123739        | 48    | 8     | 0    
28125612        | 90    | 15    | 0    
28125734        | 85    | 12    | 3    
28127340        | 69    | 19    | 0    
28127853        | 38    | 7     | 0    
28127863        | 48    | 15    | 1    
28128937        | 72    | 12    | 0    
28129238        | 53    | 15    | 2    
28130404        | 47    | 14    | 0    
28135040        | 80    | 13    | 4    
28143560        | 66    | 12    | 5    
28144189        | 63    | 24    | 2    
28144577        | 72    | 16    | 8    
28145492        | 99    | 30    | 8    
28145617        | 46    | 11    | 0    
28148830        | 66    | 9     | 0    
28149055        | 68    | 24    | 10   
28149591        | 33    | 7     | 1    
28150347        | 58    | 12    | 6    
28152029        | 44    | 6     | 0    
28152097        | 62    | 23    | 3    
28154341        | 66    | 10    | 2    
28157408        | 45    | 7     | 2    
28158248        | 55    | 19    | 2    
28160457        | 56    | 30    | 5    
28161861        | 49    | 13    | 2    
28161910        | 73    | 27    | 7    
28165738        | 45    | 12    | 1    
28166758        | 64    | 22    | 8    
28167866        | 43    | 10    | 0    
28167893        | 84    | 12    | 0    
28168514        | 42    | 11    | 2    
28171748        | 50    | 9     | 3    
28179911        | 93    | 22    | 3    
28179929        | 42    | 13    | 0    
28183116        | 23    | 6     | 0    
28183596        | 48    | 7     | 1    
28186384        | 35    | 5     | 1    
28186729        | 49    | 7     | 5    
28188533        | 26    | 6     | 0    
28192171        | 76    | 23    | 7    
28193256        | 52    | 18    | 4    
28195652        | 52    | 8     | 5    
28197133        | 86    | 23    | 2    
28197156        | 69    | 14    | 1    
28197965        | 51    | 13    | 1    
28203067        | 54    | 16    | 0    
28203549        | 73    | 16    | 1    
28208888        | 46    | 10    | 4    
28208923        | 87    | 33    | 4    
28209454        | 59    | 16    | 1    
28209459        | 15    | 6     | 0    
28209945        | 36    | 11    | 4    
28210319        | 62    | 28    | 7    
28215507        | 47    | 14    | 2    
28220186        | 72    | 19    | 7    
28220959        | 47    | 11    | 6    
28221032        | 40    | 8     | 1    
28221291        | 67    | 14    | 3    
28222192        | 60    | 24    | 1    
28223077        | 40    | 11    | 1    
28224642        | 30    | 11    | 0    
28229061        | 88    | 18    | 6    
28229097        | 72    | 32    | 18   
28232316        | 93    | 24    | 6    
28233508        | 49    | 9     | 0    
28234635        | 101   | 30    | 16   
28236586        | 50    | 22    | 6    
28237762        | 28    | 6     | 0    
28237781        | 62    | 19    | 2    
28237953        | 35    | 10    | 1    
28239461        | 77    | 14    | 7    
28239481        | 37    | 7     | 0    
28240704        | 56    | 8     | 1    
28241859        | 104   | 17    | 4    
28243201        | 76    | 20    | 6    
28243909        | 38    | 7     | 1    
28244578        | 41    | 7     | 0    
28244917        | 79    | 15    | 5    
28245342        | 50    | 22    | 1    
28249376        | 84    | 33    | 5    
28249723        | 47    | 7     | 0    
28251683        | 52    | 13    | 3    
28251753        | 28    | 12    | 1    
28252207        | 66    | 12    | 0    
28253085        | 51    | 17    | 2    
28254329        | 85    | 20    | 1    
28254935        | 30    | 10    | 0    
28256742        | 45    | 16    | 4    
28257468        | 73    | 20    | 1    
28260547        | 40    | 3     | 2    
28262340        | 63    | 6     | 1    
28263181        | 66    | 12    | 5    
28263519        | 42    | 13    | 3    
28265530        | 40    | 12    | 1    
28267199        | 56    | 14    | 1    
28268504        | 58    | 14    | 2    
28268917        | 17    | 7     | 2    
28269352        | 74    | 9     | 1    
28269453        | 29    | 4     | 1    
28269712        | 46    | 12    | 1    
28270369        | 44    | 12    | 1    
28271342        | 51    | 8     | 4    
28271600        | 29    | 5     | 0    
28272254        | 58    | 18    | 3    
28272842        | 51    | 8     | 3    
28273336        | 37    | 0     | 0    
28273482        | 61    | 16    | 3    
28274077        | 21    | 9     | 0    
28277189        | 51    | 17    | 4    
28278150        | 63    | 10    | 0    
28280149        | 39    | 8     | 0    
28281646        | 30    | 4     | 1    
28282592        | 79    | 13    | 0    
28282963        | 30    | 12    | 0    
28283668        | 53    | 13    | 2    
28284875        | 20    | 9     | 0    
28285800        | 53    | 17    | 6    
28286021        | 46    | 11    | 5    
28286958        | 29    | 5     | 3    
28287035        | 38    | 14    | 0    
28289065        | 50    | 7     | 4    
28289091        | 52    | 10    | 7    
28289914        | 67    | 14    | 2    
28294559        | 69    | 18    | 10   
28295414        | 65    | 13    | 2    
28296885        | 67    | 18    | 4    
28299441        | 61    | 22    | 8    
28301509        | 82    | 15    | 1    
28301911        | 46    | 13    | 4    
28302782        | 16    | 5     | 0    
